min,max,mean,variance,std
65,108,89.1983,31.378577110000002,5.601658424966663
78,138,107.8458,127.18522236000001,11.277642588768275
71,150,125.8766,109.32937244,10.456068689521889
67,129,101.6277,133.60369270999996,11.558706359709982
58,109,90.3205,56.75317975,7.53347063112348
9,100,74.0996,232.98707983999998,15.263914302694443
81,131,104.0782,86.92188476,9.323190696322799
84,139,111.5697,76.06494190999999,8.721521765724145
75,157,124.6198,304.08524796,17.43804025571681
59,141,103.9437,419.04353031,20.47055276024563
64,127,100.0451,168.86006599000004,12.994616808124817
71,113,88.0772,33.23484016,5.764966622626709
9,103,62.4408,245.30669536000002,15.662269802298772
62,131,99.9065,240.20915775,15.498682452066692
90,149,124.9945,157.40826975,12.546245245092253
120,175,155.6475,90.55624375,9.516104441944718
103,164,138.4472,104.13041216,10.2044310061855
70,152,117.4708,171.68894736,13.103012911540612
76,129,98.2413,90.60147431,9.518480672355226
8,74,49.5772,125.92284016000002,11.221534661533601
39,100,78.4886,98.23107003999999,9.911158864633338
61,142,100.007,163.987751,12.805770222833143
72,165,129.6261,368.14229879,19.187034653379868
109,153,133.3138,71.44212956000001,8.452344619098302
72,136,105.4268,174.19164175999998,13.198168121371996
74,120,92.153,77.75799099999999,8.818049160670402
32,85,46.5283,91.36099911,9.558294780451165
54,84,66.6382,10.44070076,3.2312073223487223
38,112,60.9653,182.45069590999998,13.507431136600326
53,135,105.1142,129.77635836,11.391942694729464
38,113,77.9372,230.76385615999996,15.19091360517859
34,67,51.3503,53.742989910000006,7.330961049548688
39,74,57.946,98.600884,9.929797782432429
36,95,65.4778,136.80130716,11.696209093548216
72,92,83.8692,14.169291360000003,3.764211917520054
83,122,99.44,90.136,9.493998104065536
89,138,119.1092,67.91407536000001,8.240999657808512
80,128,105.3252,58.94404496000001,7.677502521002517
68,109,90.851,56.155599,7.493703957323108
60,109,81.6635,102.61706774999999,10.130008279858412
84,136,110.6643,87.82920551,9.371723721386584
112,145,129.5401,30.17779199,5.493431713419217
85,145,117.6724,132.11947823999998,11.494323740003148
75,139,109.9147,125.95962390999999,11.223173522226233
49,113,76.2597,196.16825591,14.006007850561843
53,113,81.8659,191.20791719,13.827795095025092
79,130,107.6602,123.36613595999998,11.107030924599066
111,146,131.8176,35.83693024,5.986395429638774
99,154,134.6462,165.62802556,12.869655223043079
100,153,129.4278,106.55458716,10.322528138009602
51,119,85.4201,278.75441599,16.695940105007566
46,79,61.7937,58.66274030999999,7.659160548650223
74,120,91.568,106.007176,10.29597863245646
97,138,117.1888,73.05235456,8.54706701506429
103,205,128.1264,113.92582304,10.673604032378192
86,142,112.9242,151.22845436,12.29749789022141
54,108,80.3139,122.75776679,11.079610407861821
54,80,64.2877,31.519728709999995,5.614243378230053
66,99,82.7912,50.93960255999999,7.137198509219146
78,135,107.28,175.1274,13.233570946649282
94,131,113.1083,54.81377111,7.4036322916525235
58,109,90.552,123.902896,11.131167773418923
43,90,63.5766,83.91013244,9.160247400589135
74,121,94.1927,79.47716671000002,8.914996730790204
60,117,87.9064,164.69543904000002,12.833372083751021
106,135,121.6134,14.76654044,3.8427256524503544
91,146,116.9394,159.15932764,12.615836382895903
73,135,112.5419,57.178844389999995,7.561669418190668
61,146,100.8284,160.69475344,12.676543434233166
67,162,105.5731,146.23845639,12.092909343495469
16,150,127.9389,175.62776679,13.252462668877811
108,159,129.3124,117.38020624000002,10.83421461112895
86,129,106.5446,71.49401083999999,8.45541310877239
40,126,97.9961,594.5650847899999,24.38370531297489
45,131,88.8245,303.60389975,17.42423311798829
65,137,106.0547,128.64430790999998,11.342147411755853
97,132,116.6259,42.60574919,6.527307958875542
15,156,130.4897,227.28349391,15.075924313620044
114,169,146.1944,138.47760864000003,11.76765093975854
62,165,103.7062,318.45728156,17.84537143239109
44,140,85.5913,354.02346430999995,18.815511268897264
42,144,97.4828,404.10850416,20.102450202898154
73,174,116.468,170.61217600000003,13.061859591957036
65,163,114.3755,153.88489975000002,12.405035257910395
14,152,127.2587,180.03297431000001,13.417636688701927
122,170,152.2449,57.66712399000001,7.593887277936117
60,164,130.5274,251.35644924,15.854224964973847
70,151,123.2959,252.65254319000002,15.895047756770031
59,159,118.3791,396.85018318999994,19.921098945339335
66,146,115.5259,201.43132918999999,14.19265053434347
77,134,112.2761,69.31026879,8.325278901634467
109,163,134.9239,95.47710879000002,9.771238856460322
115,155,137.7338,49.75393756,7.0536471105379235
99,156,125.0061,126.24566279000003,11.235909522152625
100,162,127.3809,156.34361518999998,12.503744046884517
98,134,120.5231,28.263866389999997,5.316377186581103
111,142,128.3022,44.97247516,6.706152038240708
113,144,130.5043,28.777181510000002,5.364436737440381
112,143,126.4327,44.37067071,6.661131338594068
64,107,92.3249,26.49433999,5.1472652923664235
60,116,92.7426,50.97634523999999,7.139772071992214
