min,max,mean,variance,std
26,96,83.7488,14.322498559999998,3.784507703783941
76,90,84.4416,8.07058944,2.8408782867275395
77,96,87.1056,23.16324864,4.812821276548715
84,94,87.08,4.8832,2.2097963707093013
82,94,87.0528,5.17321216,2.274469643675202
82,97,87.6704,8.42576384,2.902716631019983
84,96,90.7232,6.31218176,2.5124055723549095
79,174,107.1728,746.00214016,27.31303974587962
81,119,91.0544,22.06104064,4.696918206654232
83,102,92.5952,17.610536959999997,4.196491029419698
85,102,94.032,15.589376000000003,3.9483383846879185
84,98,90.064,6.360704,2.522043615800488
81,96,90.6368,13.232885759999998,3.6377033633873994
79,91,84.984,4.393344,2.0960305341287375
75,92,84.44,9.0688,3.0114448359549937
69,84,76.84,5.1392,2.2669803704487608
69,90,83.3104,11.375651839999998,3.3727810246145538
66,87,80.5168,27.324917760000005,5.227324149122571
65,89,78.1888,51.69235456,7.189739533529709
62,97,76.904,58.28838399999999,7.634682966567767
75,96,84.368,27.557376,5.2495119773175105
79,95,87.5984,13.77951744,3.712077240575686
76,100,87.64,23.728,4.871139497078687
79,106,88.4,39.664,6.297936169889308
82,103,90.7296,32.50768384,5.701551003016635
79,103,87.68,22.211199999999998,4.712875979696474
59,102,86.3408,121.90465536000002,11.041044124538223
83,116,95.4208,56.147727360000005,7.493178722011107
82,107,95.0688,26.054466559999998,5.104357605027296
85,96,91.1024,6.76711424,2.601367763312216
81,93,86.944,4.782464,2.186884541991186
75,89,83.1984,6.994237439999998,2.644662065368655
68,85,75.7792,18.402447360000004,4.289807380291101
69,80,74.6608,3.86574336,1.9661493737760618
72,90,76.8624,6.91546624,2.6297274079265325
63,90,74.992,49.19513599999999,7.013924436433571
67,95,75.7424,51.63444224,7.185710976653597
65,87,74.6032,34.19454976,5.8476106026307875
69,100,83.976,50.76902400000001,7.125238522323306
74,99,89.5072,31.552348160000005,5.6171476889966145
84,102,93.4,12.988799999999998,3.603997780243489
86,108,96.312,20.851456,4.566339452997335
89,110,99.0048,23.633576960000003,4.861437746181679
96,117,104.4208,21.86932736,4.6764652634227915
95,115,103.6448,18.13943296,4.259041319358149
91,117,106.3664,32.77935104,5.725325409092482
71,117,96.528,153.209216,12.37777104328562
65,113,87.1568,101.19781376,10.059712409408133
74,111,98.1664,52.21231104,7.225808677234681
86,109,95.8704,22.68560384,4.762940671475974
81,101,91.5824,12.37441024,3.5177279940325117
79,100,87.376,18.036224,4.2469075808168935
74,89,83.0496,12.091939839999998,3.4773466666411044
73,87,79.3648,12.12612096,3.482258026051487
74,87,81.3536,7.55336704,2.7483389601721258
69,86,78.2544,11.03768064,3.3223005041687603
65,86,73.1392,32.32782336,5.685756181898762
65,93,80.5408,44.95233536,6.704650278724461
80,94,86.392,11.447936,3.3834798654639577
72,93,86.488,16.765056,4.094515355936524
86,100,90.776,5.748224,2.3975454114573096
92,105,94.8576,2.7909222400000004,1.6706053513621941
95,110,101.5856,11.40107264,3.376547443765599
95,120,103.5152,25.587368960000003,5.058395888026164
98,125,112.4976,34.928394239999996,5.910024893348589
108,123,116.7024,9.08903424,3.014802520895855
108,135,120.1536,30.734807040000003,5.543898180883195
111,144,122.1088,57.514562559999995,7.583835610032696
108,125,117.6192,18.95259136,4.353457403030378
74,116,106.0512,77.27417855999998,8.790573278233905
71,111,87.7712,85.69005056,9.256892057272786
77,108,97.5696,28.638755839999998,5.351519021735791
88,106,96.7888,14.19539456,3.7676776082886922
89,102,94.9936,10.412759040000001,3.226880698135585
82,93,88.2464,6.54728704,2.558766702925454
83,90,86.3856,1.5777126399999997,1.2560703165030211
66,88,82.648,13.856896000000003,3.7224851913741714
64,82,71.8496,19.014179840000004,4.3605251793792
