min,max,mean,variance,std
80,93,87.29,4.745900000000001,2.17850866420127
84,90,87.32,2.2176,1.4891608375189027
82,89,84.96,2.958400000000001,1.7200000000000002
80,88,84.98,4.919599999999999,2.2180171324856803
81,90,85.87,4.733100000000002,2.1755688911179076
82,89,86.03,2.6091,1.6152708751166165
84,88,85.38,0.9755999999999999,0.9877246579892597
84,88,85.08,1.2535999999999998,1.1196428001822722
85,91,87.87,2.893100000000002,1.7009115203325544
88,94,90.62,2.1556,1.4681961721786365
89,97,93.37,2.7331000000000008,1.6532090007013636
84,95,89.29,5.745900000000001,2.39706070010753
88,95,91.5,2.05,1.4317821063276353
89,98,93.66,3.7644,1.940206174611348
86,95,90.07,3.745100000000001,1.9352260849833545
80,95,86.5,12.89,3.5902646142032486
74,96,80.99,37.34989999999999,6.111456454888637
77,96,88.49,27.909899999999993,5.282982112405833
83,94,89.4,6.000000000000003,2.4494897427831788
86,102,95.3,13.789999999999997,3.7134889255254278
86,100,92.64,14.370400000000002,3.790831043452082
86,93,88.73,2.3171,1.5222023518573344
89,96,92.21,2.945900000000001,1.716362432588176
94,97,96.04,0.6783999999999999,0.82365041127896
88,98,93.44,8.8464,2.9742898312034085
87,96,91.02,5.9396,2.4371294590152575
88,95,91.88,2.605600000000001,1.6141871019184861
79,96,88.42,11.043600000000001,3.3231912373500267
82,96,89.58,8.6436,2.94
85,90,87.66,1.5244,1.2346659467240522
82,90,86.28,3.9816,1.995394697797907
77,84,81.55,3.0474999999999994,1.745709025009609
77,87,81.64,6.370399999999997,2.5239651344660046
78,88,82.97,5.9091000000000005,2.43086404391525
78,90,83.46,3.9284,1.9820191724602463
43,96,82.47,55.8291,7.4718873117840845
85,98,88.0,5.06,2.2494443758403984
85,89,86.55,1.0074999999999996,1.0037429949942365
86,90,88.37,1.5531,1.2462343278854102
76,89,83.73,8.497099999999998,2.914978559097819
77,85,81.86,4.820400000000001,2.1955409356238387
80,86,83.07,2.4051,1.5508384828859516
81,87,84.59,1.9219,1.3863260799682013
82,88,84.91,2.7018999999999993,1.643745722427894
85,87,86.37,0.43310000000000004,0.6581033353509159
84,87,85.66,1.0244,1.0121264743103997
85,90,86.9,1.2499999999999998,1.1180339887498947
86,92,88.34,1.9643999999999995,1.4015705476357583
84,91,88.51,1.9698999999999993,1.403531260784739
84,91,87.92,2.6936,1.6412190591142914
86,94,90.31,4.3138999999999985,2.076993018765349
87,96,93.58,4.0236,2.0058913230780973
83,96,90.7,7.809999999999999,2.794637722496424
83,159,103.6,299.4,17.30317889868795
92,172,129.49,609.0298999999999,24.67853115564214
79,119,91.02,57.5596,7.586804333841753
87,94,90.77,3.3971,1.8431223507949763
90,104,96.08,13.213600000000001,3.635051581477215
83,100,89.84,19.9744,4.469272871508295
86,95,89.83,3.1411,1.7723148704448652
88,102,94.36,12.910400000000003,3.5931045072471806
92,96,93.75,1.2475,1.116915395184434
90,98,93.94,4.556399999999999,2.1345725567429183
90,97,92.75,4.8675,2.2062411472910206
89,94,91.61,1.4979,1.2238872497088937
89,97,91.89,6.4578999999999995,2.5412398548739943
91,97,93.61,1.5578999999999998,1.248158643762883
85,91,88.17,2.441099999999999,1.562401996926527
82,88,85.8,2.58,1.606237840420901
78,85,81.19,2.5139,1.5855283031217071
76,89,81.43,14.425099999999997,3.798038967677925
79,87,84.48,3.1296000000000004,1.7690675509996785
80,87,83.19,2.753899999999999,1.6594878728089575
69,83,77.83,6.061099999999999,2.4619301371078746
76,89,81.76,8.522399999999998,2.9193149881436224
6,91,79.55,126.4675,11.24577698516203
11,95,84.53,182.60910000000007,13.513293454965005
82,91,84.76,3.202400000000001,1.789525076661403
79,87,84.27,3.1170999999999993,1.765531081572907
78,85,82.47,3.0890999999999993,1.7575835684256949
82,90,86.02,4.7395999999999985,2.1770622407271683
76,87,81.78,7.191600000000001,2.681715868618449
77,90,83.01,11.3099,3.3630194766013473
80,92,86.37,8.693099999999998,2.9484063491995123
84,87,85.66,0.5244,0.7241546796092669
85,87,85.23,0.19709999999999994,0.44395945760846217
84,88,86.28,0.7816,0.8840814442120137
83,87,85.14,1.5604000000000002,1.2491597175701754
83,92,87.14,4.9204,2.2181974664127626
83,90,86.93,2.1050999999999997,1.4508962747212495
84,89,86.01,1.1098999999999999,1.0535179163165664
85,90,86.82,0.7475999999999999,0.8646386528486915
85,91,87.86,2.5604,1.600124995117569
86,95,92.18,3.2276,1.7965522536235898
80,96,87.82,19.827599999999997,4.4528193316145215
79,165,109.25,612.2075,24.742827243465932
91,174,139.86,578.5004,24.05203525691745
81,114,87.91,40.8219,6.389201828084632
88,95,91.86,3.1804,1.7833676009168722
89,97,92.44,4.0064,2.001599360511489
83,92,87.91,5.781899999999999,2.4045581714735036
86,96,92.69,9.233900000000002,3.038733288724103
91,102,95.76,6.6824,2.585033848907979
94,101,97.52,2.6696000000000004,1.6338910612400082
89,101,95.6,11.46,3.3852621759621515
86,91,88.8,1.7599999999999993,1.3266499161421597
85,92,88.66,4.2844,2.0698792235297208
90,96,93.66,2.5243999999999995,1.5888360519575326
85,96,91.23,7.8171,2.795907723799196
82,88,84.96,2.5183999999999997,1.5869467539901898
83,88,85.62,2.2756000000000003,1.5085091978506462
82,87,83.79,1.9058999999999995,1.380543371285379
84,92,88.01,4.4099,2.0999761903412146
83,87,85.35,1.2075,1.0988630487917956
74,85,79.13,11.433100000000001,3.38128673732353
74,80,75.91,1.6619000000000002,1.289147004805891
75,80,77.38,1.0555999999999999,1.0274239631233058
75,84,79.93,5.245100000000001,2.2902183302034764
78,91,81.79,2.7058999999999997,1.6449620056402519
77,93,83.49,9.489900000000002,3.0805681294202865
83,89,84.68,2.2776,1.5091719583930785
81,84,82.81,0.39390000000000003,0.6276145313805283
79,83,81.23,1.0171000000000001,1.0085137579626766
77,86,82.29,3.025899999999999,1.7395114256595152
82,88,84.44,3.4263999999999997,1.8510537539466538
83,89,85.63,2.8131000000000017,1.6772298590235035
87,95,91.62,4.6556000000000015,2.1576839434912616
87,96,93.31,3.0938999999999983,1.758948549560219
85,92,88.56,2.1864,1.4786480311419619
85,94,88.49,4.9499,2.2248370726864475
84,94,89.53,7.889100000000003,2.808754172226541
82,94,88.11,8.697899999999999,2.9492202359267776
84,91,89.27,2.4770999999999996,1.5738805545529813
82,91,84.76,3.7224000000000013,1.9293522228976236
83,97,87.72,12.0616,3.4729814281104354
86,96,91.39,7.5779000000000005,2.752798575994982
88,95,90.74,2.4723999999999995,1.5723867208800764
84,95,92.04,6.5384,2.5570295266187286
82,95,89.48,5.329600000000002,2.308592644881293
81,109,92.55,17.487500000000008,4.181805830021285
80,114,89.13,67.03309999999999,8.187374426517941
85,92,87.35,1.9274999999999993,1.388344337691482
88,94,91.49,2.3298999999999994,1.5264009958068028
90,100,97.01,4.709900000000001,2.1702304025149037
89,99,94.0,4.38,2.092844953645635
93,102,96.88,5.725600000000002,2.3928226010300055
85,93,89.88,3.9856000000000016,1.9963967541548453
85,100,91.26,11.7124,3.422338381866995
86,92,89.52,1.9895999999999998,1.4105318146004364
84,92,88.11,7.3979,2.7199080866823424
86,95,91.43,4.145100000000001,2.0359518658357327
91,95,93.01,1.3098999999999998,1.1445086281894077
84,93,89.4,5.22,2.2847319317591723
81,91,86.27,4.177099999999999,2.043795488790402
81,90,84.94,4.7764,2.185497654997598
82,88,84.69,2.6938999999999993,1.6413104520473873
83,89,85.53,1.9491000000000003,1.3961017154921056
81,85,82.67,0.9211000000000001,0.9597395480024776
72,84,77.21,7.545900000000001,2.7469801601030905
73,79,75.93,1.7050999999999998,1.3057947771376632
71,80,75.81,4.173899999999998,2.043012481606512
70,85,77.93,16.68509999999999,4.084739893799847
74,82,77.9,3.929999999999999,1.9824227601599007
71,86,76.14,10.7004,3.271146587971869
23,87,77.84,91.05439999999999,9.542242922919117
78,86,81.61,2.2379,1.4959612294441322
79,90,83.07,11.165099999999997,3.341421853044
82,90,84.3,2.7499999999999987,1.6583123951776995
81,86,83.02,1.1795999999999998,1.0860939185908371
80,84,82.25,1.0875,1.0428326807307104
82,88,84.45,2.9274999999999993,1.710993863226867
76,89,86.61,5.717900000000001,2.391213081262312
75,89,84.96,9.378400000000001,3.062417345823394
64,94,81.56,47.88640000000001,6.920000000000001
71,97,82.04,69.21839999999999,8.319759611911872
73,92,81.49,36.069900000000004,6.005822175189672
76,95,85.5,26.99,5.195190083144215
83,96,91.21,12.205900000000002,3.4936943197709787
86,95,92.02,3.979599999999999,1.9948934808655823
89,94,90.96,1.3783999999999998,1.1740528097151337
85,94,88.8,3.3400000000000007,1.8275666882497068
83,96,89.94,11.256400000000001,3.355055886270749
76,95,84.57,22.965100000000003,4.792191565453118
83,94,85.15,5.067500000000001,2.251110836898086
80,89,83.99,3.8099000000000007,1.95189651365025
80,93,88.5,9.03,3.004995840263344
84,94,88.53,5.689100000000001,2.3851834311012645
83,97,87.05,14.1075,3.7559952076646743
81,99,88.05,22.227500000000006,4.714604967545002
80,91,85.86,10.500399999999997,3.2404320699561033
88,102,96.38,10.1356,3.1836457089318215
73,101,92.87,37.3731,6.11335423478797
81,102,97.0,13.12,3.6221540552549665
84,99,91.59,15.361899999999997,3.919425978379997
85,98,90.95,6.707499999999999,2.5898841672939734
87,95,90.99,3.1698999999999997,1.7804212984571937
90,96,92.44,1.3864000000000005,1.1774548823628022
90,98,94.17,3.9010999999999996,1.9751202495038118
88,94,92.74,1.7523999999999997,1.3237824594698329
88,94,91.71,2.4459,1.5639373388982054
84,89,86.48,1.8295999999999994,1.3526270735128731
84,90,85.61,2.0379,1.4275503493747603
84,89,86.89,1.8579000000000006,1.3630480549122252
81,89,84.57,3.985100000000001,1.9962715246178313
80,85,83.09,1.3618999999999999,1.1670047129296437
75,83,78.19,6.273900000000002,2.5047754390364023
69,78,74.95,7.147499999999999,2.67348087705897
68,74,70.05,2.0875000000000004,1.444818327679989
69,76,71.68,2.7976,1.672602762164406
73,76,74.6,0.9400000000000002,0.9695359714832659
73,76,74.45,0.9274999999999998,0.963068014212911
73,78,75.42,2.0435999999999996,1.4295453822806745
74,90,78.79,8.3259,2.885463567609198
77,83,80.26,1.9123999999999994,1.382895513045002
81,85,82.42,0.8235999999999999,0.9075241043630742
82,90,85.45,5.0475,2.2466641938660974
83,90,86.48,1.7495999999999996,1.322724461102916
82,87,84.41,1.4619000000000006,1.2090905673273613
73,87,82.61,8.917899999999998,2.9862853179158884
65,86,74.72,33.66159999999999,5.801861770156196
69,88,73.66,21.7844,4.667376136546101
68,82,74.29,10.785900000000002,3.2841893977053154
62,74,67.01,7.789900000000002,2.7910392329739833
66,80,73.16,8.714399999999998,2.9520162601178197
73,85,78.28,13.101599999999998,3.6196132390077254
76,88,81.28,9.501600000000002,3.0824665448306168
75,85,80.31,7.7739,2.7881714437960947
82,91,86.05,5.387499999999999,2.321098877687032
80,91,84.58,7.243599999999999,2.6913936910084333
79,92,83.33,4.6411,2.1543212388128192
81,87,83.71,1.6658999999999997,1.2906974858579372
80,100,90.04,34.97839999999999,5.914253968168766
83,99,88.95,17.8675,4.22699656966977
79,98,85.93,23.285099999999996,4.825463708287526
79,97,84.71,17.805899999999998,4.2197037810727895
84,102,91.41,29.361899999999995,5.418662196520465
84,98,88.77,10.417099999999998,3.227553252852693
81,91,85.89,5.237899999999999,2.2886458878559606
79,88,82.93,6.245100000000001,2.4990198078446677
71,102,87.6,29.28,5.411099703387474
59,89,68.56,31.1664,5.582687524839627
74,95,87.88,23.645599999999995,4.86267416140543
89,114,99.42,28.743599999999994,5.361305811087444
86,114,99.91,53.0219,7.28161383211167
83,105,93.49,46.349900000000005,6.808076086531349
92,107,100.4,14.88,3.8574603043971822
82,100,91.09,36.0819,6.006821122690437
85,96,89.34,10.0644,3.172443852931049
89,95,91.84,2.0343999999999998,1.4263239463740345
86,90,88.52,1.5295999999999998,1.2367699866992246
84,93,89.76,2.5424,1.59449051423958
84,92,87.58,4.283599999999999,2.0696859665176257
80,88,84.44,3.5864,1.8937792902025303
78,85,81.5,3.05,1.746424919657298
75,84,79.33,7.041099999999999,2.653507113237121
74,81,78.17,3.7011000000000003,1.9238243163033366
68,77,72.57,4.925100000000001,2.2192566322983023
73,79,75.95,2.5875,1.6085707942145413
73,77,75.22,0.9116,0.9547774609824008
74,76,75.42,0.4436,0.6660330322138684
75,83,77.67,1.8810999999999998,1.3715319901482428
74,83,77.0,5.58,2.3622023622035435
75,89,81.89,4.757899999999999,2.1812611031236036
8,93,79.97,150.8691,12.282878327167456
74,85,80.14,4.620399999999999,2.1495115724275595
80,84,81.98,0.7795999999999998,0.8829496021857646
68,83,76.68,16.177599999999998,4.022138734554043
67,83,74.45,22.907500000000006,4.78617801591207
69,85,78.41,19.701900000000002,4.4386822368806715
68,84,74.35,28.6875,5.356071321407137
67,77,70.52,3.7495999999999996,1.936388390793541
66,76,69.26,3.3924000000000003,1.8418468991748473
69,77,73.68,5.1975999999999996,2.279824554653274
69,80,74.2,8.48,2.9120439557122073
67,85,78.16,23.1544,4.811901910887212
72,92,82.69,14.893900000000006,3.8592615874024405
82,90,85.53,5.069100000000001,2.251466188953323
84,92,88.5,2.53,1.5905973720586866
79,93,86.59,16.141900000000003,4.017698346068306
84,93,89.17,6.061099999999998,2.4619301371078746
83,97,87.04,10.398400000000002,3.2246550203083744
84,98,89.82,10.107600000000001,3.1792451934382164
86,94,89.83,5.4411000000000005,2.332616556573326
89,102,94.43,10.125099999999996,3.181996228784691
91,107,98.92,13.2136,3.6350515814772146
93,108,102.25,11.6675,3.415772240650714
91,106,97.63,10.513099999999998,3.2423910930052835
93,103,99.64,5.5703999999999985,2.3601694854395516
97,106,101.84,3.554399999999999,1.8853116453255145
89,106,97.34,23.504399999999997,4.848133661523782
87,102,93.48,20.9696,4.579257581748378
78,105,91.43,53.665099999999995,7.325646729129108
68,90,82.76,22.84240000000001,4.77937234372883
71,86,77.74,17.652399999999997,4.201475931146101
87,115,99.3,51.76999999999999,7.195137246779939
87,116,102.95,62.227500000000006,7.888440910598241
87,103,94.56,14.306400000000004,3.782380202993877
94,109,101.52,13.309600000000003,3.6482324487345927
86,107,95.08,21.8136,4.67050318488276
88,96,93.51,2.6299000000000006,1.6216966424088077
87,96,93.42,4.363599999999999,2.088923167567443
81,91,86.58,6.923600000000001,2.63127345595246
81,92,86.49,4.5499,2.1330494602798127
84,90,86.8,1.24,1.1135528725660044
84,89,87.19,1.0339000000000003,1.0168087332433766
82,88,85.16,1.6944,1.3016912076218383
81,87,83.41,1.7219000000000007,1.312211873136347
