min,max,mean,variance,std
64,108,81.402,31.944396,5.651937366956573
64,121,91.2677,95.94623671,9.795214990494083
48,128,90.7156,239.66111663999996,15.480992107742965
51,129,82.0476,172.68433424,13.140941147421671
52,101,84.2193,54.68980751,7.395255743380346
82,126,108.5578,57.60405915999999,7.589733800338454
55,157,120.181,360.747439,18.993352495017827
33,172,127.7384,1287.6869654399998,35.88435544133404
38,147,105.8637,262.63952231,16.20615692599575
20,123,87.3598,232.44494396000002,15.246145216414542
42,93,70.2632,85.71972576000002,9.258494789111241
87,141,110.9261,43.277038790000006,6.57852861892384
94,171,127.7629,126.67668359000001,11.25507368212221
48,176,143.5092,840.10051536,28.98448749521026
34,169,102.1559,504.1997951900001,22.454393672286056
26,122,87.2354,114.95978684,10.721930182574404
16,104,66.797,216.92319099999997,14.728312564581184
84,142,113.0248,89.38118496000001,9.454162308739999
65,143,108.4012,169.23623856,13.009082925402543
73,136,110.504,136.489584,11.6828756733948
47,128,96.9104,122.31497183999998,11.059609931638636
55,117,91.4759,143.08921919,11.961990603156316
21,125,66.2646,344.33018684,18.556136096720135
77,112,95.017,32.084911,5.664354420408384
92,135,106.1615,49.90961775,7.064673930904384
73,135,115.167,96.128511,9.804514827363974
72,132,96.7646,52.465386839999994,7.243299444314034
60,124,78.4992,53.50959936,7.3150255884719915
73,119,97.0989,71.71871879,8.468690500307588
72,128,102.8486,101.52647804,10.076034837176776
58,115,88.8134,126.49598043999998,11.24704318654463
54,99,83.5706,52.06801564000001,7.215817045906861
24,98,63.5206,290.19397564,17.035080734766126
48,128,88.9944,221.10496864,14.869598805616782
71,142,118.5731,105.59005639,10.275702233424244
76,126,102.7614,101.86847003999999,10.092991134445725
19,124,82.8765,587.3768477499999,24.23585871699206
16,128,86.8534,735.40150844,27.118287343414593
26,148,106.4678,503.20916316,22.43232406952075
26,149,110.4389,758.57126679,27.542172513982987
86,154,122.89,160.5379,12.670355164714207
42,126,87.4478,357.95947516,18.919816995943698
17,119,41.5913,302.97666431,17.406224872441467
24,144,96.8496,818.6475798399999,28.61201810149015
43,181,143.0278,340.68662715999994,18.45769831696249
20,168,107.6761,1555.5259887900002,39.44015705838404
112,174,145.6731,156.85603638999999,12.524217995148438
49,148,95.8899,548.05857799,23.41065095186377
14,57,28.8154,132.24132283999998,11.499622725985404
14,139,63.4234,987.42353244,31.42329601489952
111,177,144.2744,96.20970464,9.808654578483228
20,149,102.5038,921.0253855599999,30.348400049425997
100,153,126.949,134.993999,11.61869179382946
38,129,88.491,297.90011899999996,17.2597832836916
12,41,23.6299,14.095325989999997,3.7543742474612194
10,130,61.3289,1114.95212479,33.3908988317176
75,153,128.0525,155.39094374999996,12.465590389147238
12,128,85.8666,540.7216044400001,23.253421349126242
72,125,98.88,98.61500000000001,9.930508546897284
8,114,57.9718,964.8314047599999,31.061735379080158
38,119,92.9972,254.30199216,15.946848972759478
8,96,40.2348,517.95966896,22.758727314153575
26,72,45.5608,93.34830336,9.661692572215285
27,120,67.7072,404.40646816,20.109859973654714
3,16,9.8393,3.12247551,1.7670527751032226
48,114,79.0771,146.02715559,12.0841696276575
56,149,103.8509,375.12706919000004,19.368197365526818
4,159,111.65,1003.3021,31.67494435669935
5,61,15.9963,20.311886310000002,4.506871011023058
62,143,107.5649,239.31858799,15.469925274221591
100,179,146.3211,217.52679479,14.748789604235325
66,185,153.2451,524.67502599,22.905785862746555
7,147,38.2621,778.93180359,27.90934975218878
3,36,23.3977,76.16233471,8.727103454755191
80,141,107.4254,105.78383484,10.285126875250494
104,178,132.7325,146.29234375,12.095137194343849
122,181,159.4444,136.18430863999998,11.669803281975236
9,167,80.8969,1785.6176703899998,42.256569553029266
10,65,24.2402,19.16610396,4.377910912752794
1,37,20.4307,39.434997509999995,6.279729095271547
72,121,103.2849,71.45373199000001,8.45303093511434
62,138,101.9305,207.78986975000004,14.414918305352966
71,174,130.1474,433.62707324,20.82371420376298
63,166,114.5907,358.58517350999995,18.936345304994834
5,106,43.4768,608.90026176,24.675904477039946
51,108,78.6565,110.90670775000001,10.531225367923716
36,118,72.1706,272.00209564,16.492486035767925
33,125,76.0871,407.12171359,20.177257335673747
68,106,85.6219,51.836540389999996,7.199759745297061
72,138,107.0503,172.45756991,13.132310151302397
96,171,139.8043,197.05860151,14.037756284748642
95,171,132.6182,221.08022875999998,14.86876688767431
38,118,87.097,226.59039099999995,15.052919683569694
22,111,69.7766,639.87029244,25.295657580699498
38,141,79.9396,688.22455184,26.23403422731624
44,172,109.6406,581.11403164,24.10630688512863
29,175,115.0197,782.29391191,27.969517548752965
33,152,105.8469,384.18946039,19.600751526153278
