min,max,mean,variance,std
5,103,68.96,162.7784,12.758463857377189
54,74,64.25,15.9875,3.9984371947049513
50,82,66.71,54.605899999999984,7.389580502301872
41,78,60.97,87.3091,9.343933861067297
51,76,59.71,19.725900000000003,4.441384919144028
54,75,60.66,23.804400000000005,4.878975302253538
46,79,55.18,46.2276,6.799088174159826
49,91,60.14,126.66040000000001,11.254350270006706
45,92,63.93,188.78509999999997,13.739909024444083
55,84,66.14,53.74040000000001,7.330784405505321
63,95,72.39,72.43789999999998,8.511045764181977
58,97,72.87,116.55310000000003,10.795976102233649
65,94,78.51,117.72989999999999,10.850341008466046
62,91,75.46,62.2284,7.888497955884884
64,83,77.3,21.03,4.585847795119241
59,81,70.8,42.900000000000006,6.549809157525126
65,80,71.93,17.065099999999994,4.130992616793208
69,75,71.03,1.1691,1.081249277456406
69,79,73.83,8.7211,2.953150859675137
68,74,71.73,1.7970999999999997,1.340559584651126
61,80,73.31,23.1939,4.8160045681041455
56,75,66.56,20.486400000000003,4.526190451141003
66,75,70.3,3.21,1.7916472867168918
65,74,68.96,4.5784,2.1397196077991154
61,76,70.1,11.13,3.3361654635224554
59,76,69.02,14.9396,3.8651778743028116
52,77,68.63,35.11310000000001,5.925630768112371
55,75,68.9,21.09,4.592385001282014
64,78,69.96,7.718400000000002,2.7782008566696543
66,80,71.81,12.993900000000004,3.604705258408793
58,82,70.26,39.51240000000001,6.28588895861198
60,82,69.25,39.2875,6.267974154381941
60,76,65.99,14.8099,3.848363288464331
58,67,63.06,4.5363999999999995,2.1298826258740173
59,68,64.15,2.5474999999999994,1.5960889699512366
4,81,65.22,173.31159999999997,13.1647863636293
61,83,70.31,30.793899999999997,5.54922517113876
64,87,75.51,41.9099,6.473785600404141
71,88,81.18,15.547599999999994,3.943044509005699
78,89,86.23,4.157100000000001,2.0388967605055437
77,91,85.65,10.967500000000003,3.311721606657178
67,89,78.66,28.564400000000006,5.344567335154457
59,90,77.81,78.67390000000002,8.869830889030524
50,90,70.0,135.84,11.655041827466773
51,80,65.99,104.2899,10.212242652816276
49,79,60.68,96.49760000000002,9.823319194651063
59,77,65.7,11.11,3.3331666624997918
56,72,65.44,13.586400000000001,3.685973412817841
59,84,70.97,43.6491,6.6067465518211
65,84,73.94,56.5364,7.519069091317089
65,88,74.19,62.013899999999985,7.874890475428848
65,89,77.65,45.46750000000001,6.74295929099383
60,91,76.74,67.7724,8.23239940722023
69,83,75.84,19.114399999999996,4.372001829825783
69,83,73.67,15.961100000000004,3.9951345409134853
65,80,70.71,12.445900000000004,3.527874714328728
63,71,67.6,3.02,1.7378147196982767
62,80,68.2,20.179999999999996,4.49221548904324
60,80,69.64,26.130400000000005,5.111790293038243
66,74,69.89,4.257899999999999,2.063467954682117
65,73,68.52,5.409600000000001,2.325854681617061
61,73,67.32,8.417599999999998,2.901310048926174
63,77,69.82,8.027600000000001,2.833301960610623
63,76,69.78,9.8916,3.145091413615827
69,78,73.13,6.533099999999999,2.5559929577367773
69,81,76.03,8.149099999999999,2.854662852247179
64,81,74.99,33.3099,5.771472948910009
67,84,75.53,21.909100000000002,4.680715757232007
71,82,76.01,8.909900000000002,2.9849455606426063
66,76,70.73,4.4971,2.1206366968436625
62,71,66.56,4.9064000000000005,2.2150395030337497
58,68,63.53,4.9491000000000005,2.2246572769754898
54,70,65.57,9.145099999999996,3.0240866389705165
51,70,65.09,6.5619,2.5616205808042687
4,74,57.55,276.8475,16.63873492787237
64,78,73.13,5.853099999999999,2.419318085742344
68,88,77.64,24.930400000000006,4.993035149085174
72,95,87.64,30.790399999999995,5.548909802835148
74,91,86.84,14.854399999999998,3.8541406305426893
70,85,78.33,18.901100000000003,4.347539534035315
70,87,76.44,16.346400000000003,4.0430681418942225
75,87,79.11,8.1579,2.8562037742430073
76,90,83.09,13.3619,3.6553932756955168
73,91,84.13,13.833100000000002,3.719287566187912
78,91,87.0,12.62,3.552463933666322
74,95,83.82,27.307599999999997,5.2256674214879
71,81,75.4,5.54,2.353720459187964
63,82,71.64,17.210399999999996,4.148541912527822
55,76,65.7,26.69,5.166236541235796
59,86,75.0,59.86,7.73692445355388
78,84,81.15,2.307499999999999,1.5190457530963308
81,95,88.87,13.133100000000002,3.623961920329738
87,95,91.35,3.9474999999999993,1.9868316486305526
81,92,88.36,7.630399999999997,2.762317867299127
79,95,84.56,16.086399999999998,4.01078545923364
78,92,83.78,19.3916,4.403589444986896
72,83,76.07,4.445100000000001,2.108340579697692
66,79,74.15,14.567500000000004,3.8167394461765403
